category	repository_path	source_path	public_source	purpose	source_sha256	repository_sha256
training	src/training/corigami_train.sh	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/corigami_train.sh	local cluster workflow source	Standard C.Origami training launcher	e846bdfe75805aa79fff5f28f904062e3b3886d604a48621508317eb01e64273	fe6e9b2dc51137da607543656a3df32ca06be25f1b2111b400725323a8ab03b2
training	src/training/corigami_train_atac_only.sh	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/corigami_train_atac_only.sh	local cluster workflow source	ATAC-only training launcher	833c2685276c23f01dd6b8fd12e57766bddf185832ae7c2f3d7d95de85267c65	f1628a0b3de3af69eb182e668b8a1cdb75eb806402ffc91ce03b4df3165e5e21
training	src/training/train_atac_only.py	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/train_atac_only.py	local cluster workflow source	ATAC-only model training implementation	e94319dc19a19172095cfeaaaa0dfddef5778240b598bd81405378040e07eacb	e94319dc19a19172095cfeaaaa0dfddef5778240b598bd81405378040e07eacb
prediction	src/prediction/run_top_pred.smk	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/run_top_pred.smk	local cluster workflow source	Plan A prediction workflow	1cdc626227bc3c84c8345ef83b383d9cc9b780416e339483f03e6027911b245a	c2239d14c3efe959b3f7e1d8ce12cd50baebcc2f6a41e1ffc9d724494850b2dc
prediction	src/prediction/run_top_pred_planE.smk	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/run_top_pred_planE.smk	local cluster workflow source	Plan E prediction workflow	252d2950c0333f3a5342a767455c6dc3326f450800e5f17f6a92bf0c07ccfcfd	69c683f96f6df63955d4c39078034145097bfa509183e4883ef89dd6faedf2c2
prediction	src/prediction/run_top_pred_planH.smk	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/run_top_pred_planH.smk	local cluster workflow source	Plan H prediction workflow	7189f2af74b094c636987b5966089c351730211a91cbe95da92365260e7875d0	0b514680f517bf465213d27739c65076c210621d8957025c9e14550ce36417ec
prediction	src/prediction/predict_atac_only.py	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/predict_atac_only.py	local cluster workflow source	ATAC-only Plan H inference implementation	aeee5b32b3bc27fc399b5ca32ae1a366cac5eba7ed7bb121b78522d84d90ec32	aeee5b32b3bc27fc399b5ca32ae1a366cac5eba7ed7bb121b78522d84d90ec32
generation	src/generation/diploid-dna/01_build_haplotype_fasta.sh	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/allele_specific/01_build_haplotype_fasta.sh	local cluster workflow source	Generate paternal and maternal DNA FASTA	4b9d3c800c3e4764ab2cc42082ba001eb613531c17995388ff98bdac64ce3420	4600aee0c4439eae8840b8c6f7de77e179996a506b1cf81a10a3a17623d86b6a
generation	src/generation/plan-e-ctcf/06_continuous_pwm_ctcf.py	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/allele_specific/06_continuous_pwm_ctcf.py	local cluster workflow source	Generate Plan E paternal and maternal CTCF BigWigs	0e8588a49da786c17adbc7d727b803cfb500e4e41586ca41cc6f84088c5683b9	ea6b4e8ec6ab6794361bde0b4debf26cb3be023b605a1a324a748ed7c173e9fa
generation	src/generation/plan-e-ctcf/MA0139.1.meme	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/software/corigami/allele_specific/MA0139.1.meme	JASPAR MA0139.1 CTCF motif	PWM used by Plan E CTCF generation	ff882efb8c83632af3b880f60d865b125276d7ccaf22a4706da217685dab4fc0	f18fe65dd0aa7b494e12c82d79d492693d4724ef3a868de2618403360e3de078
snp-density	snp-density/SNP_density.ipynb	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/database/GM12878/GM12878/SNP_density.ipynb	local GM12878 analysis source	Generate and summarize SNP-density windows	27db4337b82a8f53995cf1799196075cd2141b0d5440bb64051ade640b232b99	1a52ee946e16af10d1f709d9f199fd6fca17ceddd806e48041a00040fa48f531
benchmark	benchmarks/corigami_predict_benchmark_dip3d_planA_merge.ipynb	/gpfs1/tangfuchou_pkuhpc/tangfuchou_test/lujiansen/project/LJS/10XATAC/analysis/corigami_predict_benchmark_dip3d_planA_merge.ipynb	local benchmark analysis source	Benchmark Plan A merge predictions against Dip3D	7e7c914d5487b1426eee95d2f66d8fa8a8307ff1802d945be93e6698fc0a11c7	4469971613d69f319750ac12fb5757e7e59ff41bba2ebc22145f729a081f57ca
benchmark	benchmarks/corigami_predict_benchmark_planAEH.ipynb	/home/tangfuchou_pkuhpc/tangfuchou_test/gpfs1/lujiansen/project/LW_TEST/10XATAC/analysis/corigami_predict_benchmark_planAEH.ipynb	local benchmark analysis source	Compare Plan A E and H predictions	c50ae41e859651278f585cd4f570cb96fbe1b93dba2cdbdad0a9c685ac74f9ba	f9dd0f838529c6352c1b243d1ca1a89f195ce72c5b1af506c3a41f850c643737
