chrom	start	end	mean_value
chr4	150500000	152500000	50
chr13	76500000	78500000	50
chrX	75500000	77500000	50
chr1	196500000	198500000	49.75
chrX	126500000	128500000	49.75
chr6	27000000	29000000	49.5
chr6	27500000	29500000	49.5
chr1	190000000	192000000	49.25
chr2	41000000	43000000	49.25
chr4	150000000	152000000	49.25
chr6	28000000	30000000	49.25
chr6	28500000	30500000	49.25
chr7	55000000	57000000	49.25
chr12	91000000	93000000	49.25
chr13	76000000	78000000	49.25
chr2	54500000	56500000	49
chr4	151000000	153000000	49
chr5	60500000	62500000	49
chr8	111500000	113500000	49
chr14	70500000	72500000	49
chr22	41000000	43000000	49
chr22	42000000	44000000	49
chr2	54000000	56000000	48.75
chr6	71000000	73000000	48.75
chr10	26500000	28500000	48.75
chr13	25500000	27500000	48.75
chr22	41500000	43500000	48.75
chrX	33500000	35500000	48.75
chr2	126000000	128000000	48.5
chr6	29000000	31000000	48.5
chr6	37500000	39500000	48.5
chr6	76000000	78000000	48.5
chr11	56500000	58500000	48.5
chr12	91500000	93500000	48.5
chr13	77000000	79000000	48.5
chr16	69500000	71500000	48.5
chr1	189000000	191000000	48.25
chr1	189500000	191500000	48.25
chr2	53500000	55500000	48.25
chr2	200000000	202000000	48.25
chr4	122000000	124000000	48.25
chr4	122500000	124500000	48.25
chr5	61000000	63000000	48.25
chr5	109500000	111500000	48.25
chr6	8000000	10000000	48.25
chr6	29500000	31500000	48.25
chr7	68500000	70500000	48.25
chr8	4000000	6000000	48.25
chr11	56000000	58000000	48.25
chr12	16500000	18500000	48.25
chr16	69000000	71000000	48.25
chr16	70000000	72000000	48.25
chr16	77500000	79500000	48.25
chrX	69000000	71000000	48.25
chr1	167500000	169500000	48
chr2	139000000	141000000	48
chr2	159000000	161000000	48
chr5	36000000	38000000	48
chr5	99500000	101500000	48
chr5	110000000	112000000	48
chr5	125500000	127500000	48
chr6	31500000	33500000	48
chr7	96500000	98500000	48
chr7	101000000	103000000	48
chr8	3500000	5500000	48
